Group,Organization,Closing_Code,Type_of_Submission,Impact_Summary,Activity,Day_Time_MW,Outage_Duration,Headline_Description,Closing_Type,Prime_Element,ITIL_Severity,SRED
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak

164574
164575
109415
109416
109438
109439
109447
109456
109459
109460
109463
111470
111679
111683
111684
111764
111772
111786
111884
144460
145231
145232
146971
146979
147316
150608
151666
151674
152463
152464
153085
159827
159874
160002
160635
161299
161422
161611
163347
164011
164063
164616
164778
165068
165121
165161
166219
166701
166703
166804
166805
166806
167466
167560
178516
188920
191489
193682
195810

cmts76.dupt
cmts77.dupt
cmts78.dupt
cmts79.dupt
cmts80.dupt
cmts81.dupt
cmts82.dupt
cmts83.dupt
cmts84.dupt
cmts85.dupt
cmts86.dupt
cmts87.dupt
cmts88.dupt
cmts89.dupt
cmts90.dupt

",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak

cmts76.hnsn
cmts77.hnsn
cmts78.hnsn
cmts79.hnsn
cmts80.hnsn
cmts81.hnsn
cmts82.hnsn
cmts83.hnsn
cmts84.hnsn
cmts85.hnsn
cmts86.hnsn
cmts87.hnsn
cmts88.hnsn
cmts89.hnsn
cmts90.hnsn


",No Issues,CMTS,P1,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: OS Upgrade From Rel 7.2.5_build63a1 to Rel 8.1.6.5_build873e

Description: Upgrade the OS of Casa from Rel 7.2.5.2_build63a1 to ccsi.gz.rel8.6.1.5_build873e

The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,Other,Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak

cmts76.baol
cmts77.baol
cmts78.baol
cmts76.basp
cmts77.basp
cmts76.bawk
cmts77.bawk
cmts78.bawk
cmts79.bawk
cmts76.brntfd
cmts77.brntfd
cmts78.brntfd
cmts79.brntfd
cmts80.brntfd
",No Issues,CMTS,P3,1
Management and Control Networks,Network Management and Ops,Other,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: OS Upgrade From Rel 7.2.5_build63a1 to Rel 8.1.6.5_build873e

Description: Upgrade the OS of Casa from Rel 7.2.5.2_build63a1 to ccsi.gz.rel8.6.1.5_build873e

The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",Other,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,Other,Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak

cmts76.etob
cmts77.etob
cmts78.etob
cmts79.etob
cmts80.etob
cmts81.etob
cmts82.etob
cmts83.etob
cmts84.etob
cmts86.etob
cmts87.etob
cmts88.etob
cmts89.etob
cmts76.kwkw
cmts77.kwkw

",No Issues,CMTS,P3,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: OS Upgrade From Rel 7.2.5_build63a1 to Rel 8.1.6.5_build873e

Description: Upgrade the OS of Casa from Rel 7.2.5.2_build63a1 to ccsi.gz.rel8.6.1.5_build873e

The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak

cmts85.dupt
cmts86.dupt
cmts87.dupt
cmts88.dupt
cmts89.dupt
cmts90.dupt
cmts76.mtmk
cmts77.mtmk
cmts78.mtmk
cmts79.mtmk
cmts80.mtmk
cmts81.mtmk
cmts82.mtmk
cmts83.mtmk
cmts84.mtmk
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Other,Lead Time Exception,Other,OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA

cmts                 MD
cmts76.hnsn MD1
                 MD32

cmts85.hnsn MD38

cmts87.mtnk MD35

cmts86.mtnk   MD30
cmts90.mtnk       MD40
",Other,CMTS,P3,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: OS Upgrade From Rel 7.2.5_build63a1 to Rel 8.1.6.5_build873e

Description: Upgrade the OS of Casa from Rel 7.2.5.2_build63a1 to ccsi.gz.rel8.6.1.5_build873e

The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.grnsbr
cmts77.grnsbr
cmts78.grnsbr
cmts79.grnsbr
cmts80.grnsbr
cmts81.grnsbr
cmts82.grnsbr
cmts83.grnsbr
cmts84.grnsbr
cmts85.grnsbr
cmts86.grnsbr
cmts87.grnsbr
cmts88.grnsbr
cmts90.grnsbr
cmts92.grnsbr
cmts94.grnsbr
cmts96.grnsbr
",No Issues,CMTS,P1,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: OS Upgrade From Rel 7.2.5_build63a1 to Rel 8.1.6.5_build873e

Description: Upgrade the OS of Casa from Rel 7.2.5.2_build63a1 to ccsi.gz.rel8.6.1.5_build873e

The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.mtbo
cmts77.mtbo
cmts76.glph
cmts77.glph
cmts79.glph
cmts80.glph
cmts81.glph
cmts76.flfrd
cmts77.flfrd
cmts78.flfrd
cmts79.flfrd
cmts80.flfrd
cmts81.flfrd
cmts82.flfrd
cmts83.flfrd
cmts84.flfrd
",No Issues,CMTS,P1,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: OS Upgrade From Rel 7.2.5_build63a1 to Rel 8.1.6.5_build873e

Description: Upgrade the OS of Casa from Rel 7.2.5.2_build63a1 to ccsi.gz.rel8.6.1.5_build873e

The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.ktgc
cmts77.ktgc
cmts78.ktgc
cmts79.ktgc
cmts80.ktgc
cmts81.ktgc
cmts82.ktgc
cmts83.ktgc
cmts84.ktgc
cmts85.ktgc
cmts86.ktgc
cmts87.ktgc
cmts88.ktgc
cmts89.ktgc
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.lndn
cmts77.lndn
cmts78.lndn
cmts79.lndn
cmts80.lndn
cmts81.lndn
cmts82.lndn
cmts83.lndn
cmts84.lndn
cmts85.lndn
cmts86.lndn
cmts87.lndn
cmts88.lndn
cmts89.lndn
cmts90.lndn
cmts91.lndn
cmts92.lndn
cmts93.lndn
cmts94.lndn
cmts95.lndn
cmts96.lndn
",No Issues,CMTS,P1,1
Management and Control Networks,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Software Upgrade,MW,60.0,"Headline: OS Upgrade From Rel 7.2.5_build63a1 to Rel 8.1.6.5_build873e

Description: Upgrade the OS of Casa from Rel 7.2.5.2_build63a1 to ccsi.gz.rel8.6.1.5_build873e

The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.baal
cmts77.baal
cmts76.baol
cmts77.baol
cmts76.bloor
cmts77.bloor
cmts78.bloor
cmts79.bloor
cmts80.bloor
cmts81.bloor
cmts82.bloor
cmts83.bloor
cmts84.bloor
cmts85.bloor
cmts86.bloor
cmts88.bloor
cmts89.bloor
cmts90.bloor
cmts91.bloor
cmts92.bloor
cmts93.bloor
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: All are low split

cmts76.bloor md43 cmts76.bloormd43us10/4 
cmts76.bloor md43 cmts76.bloormd43us10/5 
cmts76.cmbr md47 cmts76.cmbrmd47us10/14 
cmts76.hnsn md43 cmts76.hnsnmd43us10/9 
cmts76.wdstck md3 cmts76.wdstckmd3us13/2 
cmts78.mtmk md34 cmts78.mtmkmd34us11/3 
cmts78.mtmk md34 cmts78.mtmkmd34us11/2 
cmts79.dupt md46 cmts79.duptmd46us10/6 
cmts79.dupt md46 cmts79.duptmd46us10/7 
cmts80.hnsn md34 cmts80.hnsnmd34us11/11 
cmts80.hnsn md34 cmts80.hnsnmd34us11/10 
cmts80.mtmk md18 cmts80.mtmkmd18us11/2 
cmts80.mtmk md18 cmts80.mtmkmd18us11/3 
cmts80.mtmk md22 cmts80.mtmkmd22us11/11 
cmts80.mtmk md22 cmts80.mtmkmd22us11/10 
cmts80.wlfdle md48 cmts80.wlfdlemd48us10/15 
cmts82.cmstk md21 cmts82.cmstkmd21us12/9 
cmts82.cmstk md21 cmts82.cmstkmd21us12/8 
",No Issues,CMTS,P2,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,Other,Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.brntfd
cmts76.clwd
cmts76.cmbr
cmts77.brntfd
cmts77.clwd
cmts77.cmbr
cmts78.brntfd
cmts78.clwd
cmts78.cmbr
cmts79.brntfd
cmts79.clwd
",No Issues,CMTS,P3,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA

cmts82.hnsn md27 cmts82.hnsnmd27us11/0 low split
cmts82.hnsn md27 cmts82.hnsnmd27us12/15 low split
cmts82.lndn md24 cmts82.lndnmd24us12/15 low split
cmts82.lndn md24 cmts82.lndnmd24us12/14 low split
cmts87.mtnk md14 cmts87.mtnkmd14us12/10 low split
cmts87.mtnk md14 cmts87.mtnkmd14us12/11 low split
cmts87.wlfdle md3 cmts87.wlfdlemd3us13/4 low split
cmts87.wlfdle md3 cmts87.wlfdlemd3us13/5 low split
cmts88.wlfdle md17 cmts88.wlfdlemd17us12/0 low split
cmts88.wlfdle md17 cmts88.wlfdlemd17us12/1 low split
cmts90.dupt md10 cmts90.duptmd10us12/2 low split
cmts90.dupt md10 cmts90.duptmd10us12/3 low split
cmts90.dupt md9 cmts90.duptmd9us12/1 low split
cmts90.dupt md9 cmts90.duptmd9us12/0 low split
cmts90.ym md26 cmts90.ymmd26us10/2 mid split
cmts90.ym md26 cmts90.ymmd26us10/3 mid split
cmts91.wlfdle md40 cmts91.wlfdlemd40us9/14 low split
cmts91.wlfdle md40 cmts91.wlfdlemd40us9/15 low split
",No Issues,CMTS,P2,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,Other,Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.agnt
cmts77.agnt
cmts78.agnt
cmts76.ajax
cmts77.ajax
cmts78.ajax
cmts79.ajax
cmts80.ajax
cmts81.ajax
cmts82.ajax
cmts83.ajax
cmts84.ajax
cmts86.ajax
cmts87.ajax
cmts88.ajax
cmts76.basp
cmts77.basp
cmts78.basp
cmts76.bawk
cmts77.bawk
cmts78.bawk
cmts79.bawk
",No Issues,CMTS,P3,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,Other,Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.cmstk
cmts77.cmstk
cmts78.cmstk
cmts79.cmstk
cmts80.cmstk
cmts81.cmstk
cmts82.cmstk
cmts83.cmstk
cmts84.cmstk
cmts85.cmstk
cmts86.cmstk
cmts87.cmstk
cmts89.cmstk
cmts90.cmstk
",No Issues,CMTS,P3,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.flfrd
cmts77.flfrd
cmts78.flfrd
cmts79.flfrd
cmts80.flfrd
cmts81.flfrd
cmts82.flfrd
cmts83.flfrd
cmts84.flfrd
cmts85.flfrd
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA

cmts77.agnt_md 39
cmts78.ajax_md 37
cmts83.ajax_md 47
cmts86.bloor_md 34
cmts86.bloor_md 18
cmts92.bloor_md 30
cmts77.brntfd_md 24
cmts76.clwd_md 35
cmts91.cmstk_md 1
cmts79.etob_md 5
cmts82.etob_md 27
cmts76.glph_md 26
cmts81.grnsbr_md 21
cmts88.grnsbr_md 15
cmts81.hnsn_md 22
cmts82.hnsn_md 27
cmts82.hnsn_md 18
cmts85.hnsn_md 7
cmts88.hnsn_md 43
cmts90.hnsn_md 45
",No Issues,CMTS,P2,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.mtwd
cmts77.mtwd
cmts78.mtwd
cmts79.mtwd
cmts80.mtwd
cmts81.mtwd
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA

cmts77.hstr_md 33
cmts79.ktgc_md 33
cmts81.ktgc_md 36
cmts84.ktgc_md 25
cmts77.lndn_md 33
cmts82.lndn_md 24
cmts92.lndn_md 28
cmts93.lndn_md 17
cmts77.mtmk_md 4
cmts82.mtnk_md 29
cmts85.mtnk_md 10
cmts87.mtnk_md 14
cmts89.mtnk_md 1
cmts80.mtwd_md 16
cmts81.nmkt_md 14
cmts76.orvl_md 9
cmts76.orvl_md 36
cmts78.pr_md 20
cmts82.slnt_md 9
cmts84.slnt_md 14
cmts86.slnt_md 2
cmts88.slnt_md 33
cmts76.stth_md 45
",No Issues,CMTS,P2,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.dupt
cmts77.dupt
cmts78.dupt
cmts79.dupt
cmts80.dupt
cmts81.dupt
cmts82.dupt
cmts83.dupt
cmts84.dupt
cmts85.dupt
cmts86.dupt
cmts87.dupt
cmts88.dupt
cmts89.dupt
cmts90.dupt
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA

cmts76.wdstck_md 34
cmts78.wlfdle_md 8
cmts78.wlfdle_md 14
cmts86.wlfdle_md 42
cmts87.wlfdle_md 3
cmts88.wlfdle_md 17
cmts91.wlfdle_md 40
cmts82.ym_md 13
cmts85.ym_md 37
cmts90.ym_md 26
cmts81.dupt_md 1
cmts81.dupt_md 32
cmts85.dupt_md 5
cmts86.dupt_md 1
cmts90.dupt_md 10
cmts90.dupt_md 9
",No Issues,CMTS,P2,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA


US_cmts_md
cmts85.bloor_2000001
cmts80.brntfd_2000011
cmts78.cmbr_2000004
cmts78.cmbr_2000005
cmts78.cmbr_2000012
cmts76.hnsn_2000001
cmts76.hnsn_2000032
cmts78.hnsn_2000011
cmts81.hnsn_2000043
cmts81.hnsn_2000045
cmts82.hnsn_2000032
cmts82.hnsn_2000043
cmts83.hnsn_2000040
cmts85.hnsn_2000038
cmts87.hnsn_2000001
cmts91.hnsn_2000001
cmts94.hnsn_2000001
cmts85.ktgc_2000038
cmts86.ktgc_2000007
cmts84.lndn_2000040
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.etob
cmts77.etob
cmts78.etob
cmts79.etob
cmts80.etob
cmts81.etob
cmts82.etob
cmts83.etob
cmts84.etob
cmts85.etob
cmts86.etob
cmts87.etob
cmts88.etob
cmts89.etob
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA

cmts76.bloor_md 43  OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts76.hnsn_md 43  OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts80.wlfdle_md 48 OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts82.lndn_md 24  OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts87.mtnk_md 14  OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts87.wlfdle_md 3  OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts88.wlfdle_md 1  OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts91.wlfdle_md 40 OFDMA 8-18MHz - QPSK/16 QAM - IUC 11
cmts90.ym_md 26  Mid Split 45.65-85HMz IUC 42 - 256/512 QAM - IUC 52
",No Issues,CMTS,P2,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.agnt
cmts77.agnt
cmts78.agnt
cmts76.ajax
cmts77.ajax
cmts78.ajax
cmts79.ajax
cmts80.ajax
cmts83.ajax
cmts84.ajax
cmts85.ajax
cmts86.ajax
cmts88.ajax
cmts76.baal
cmts77.baal
cmts76.baol
cmts77.baol
cmts78.baol
cmts76.basp
cmts77.basp
cmts78.basp
cmts76.bawk
cmts77.bawk
cmts78.bawk
cmts79.bawk
cmts76.bloor
cmts77.bloor
cmts78.bloor
cmts79.bloor
cmts80.bloor
cmts81.bloor
cmts82.bloor
cmts85.bloor
cmts86.bloor
cmts87.bloor
cmts89.bloor
cmts92.bloor
cmts93.bloor
cmts76.brntfd
cmts77.brntfd
cmts78.brntfd
cmts79.brntfd
cmts80.brntfd
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",OFDMA Upstream Enablement,MW,5.0,"Headline: Enable OFDMA

Description: Enable OFDMA



cmts93.lndn_2000030
cmts95.lndn_2000002
cmts76.mtbo_2000002
cmts82.mtmk_2000029
cmts86.mtnk_2000030
cmts86.mtnk_2000035
cmts87.mtnk_2000001
cmts87.mtnk_2000035
cmts89.mtnk_2000033
cmts89.mtnk_2000034
cmts89.mtnk_2000046
cmts89.mtnk_2000047
cmts90.mtnk_2000019
cmts90.mtnk_2000040
cmts76.nmkt_2000010
cmts85.wlfdle_2000030
cmts79.ym_2000021
cmts91_wlfdle_2000040

",No Issues,CMTS,P2,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Lead Time Exception,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.clwd
cmts77.clwd
cmts78.clwd
cmts79.clwd
cmts76.cmbr
cmts77.cmbr
cmts78.cmbr
cmts76.lndn
cmts77.lndn
cmts78.lndn
cmts79.lndn
cmts80.lndn
cmts81.lndn
cmts82.lndn
cmts83.lndn
cmts84.lndn
cmts85.lndn
cmts86.lndn
cmts87.lndn
cmts88.lndn
cmts89.lndn
cmts90.lndn
cmts91.lndn
cmts92.lndn
cmts94.lndn
cmts95.lndn

",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.glph
cmts77.glph
cmts78.glph
cmts79.glph
cmts80.glph
cmts81.glph
cmts76.grnsbr
cmts77.grnsbr
cmts78.grnsbr
cmts79.grnsbr
cmts80.grnsbr
cmts81.grnsbr
cmts82.grnsbr
cmts83.grnsbr
cmts84.grnsbr
cmts85.grnsbr
cmts86.grnsbr
cmts88.grnsbr
cmts96.grnsbr
",No Issues,CMTS,P1,1
IP and Network Configuration Mgmt,Network Management and Ops,Completed,Normal,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",Line Card Conversion 3W1N,MW,5.0,"Headline: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)

Description: US SC QAM in Rolloff Spectrum CONFIGURATION(3W + 1N)
The below MDs were selected based on the following criteria:
- Highest utilization of upstream based on 1 week average peak
cmts76.ktgc
cmts77.ktgc
cmts78.ktgc
cmts79.ktgc
cmts80.ktgc
cmts81.ktgc
cmts82.ktgc
cmts83.ktgc
cmts84.ktgc
cmts85.ktgc
cmts86.ktgc
cmts87.ktgc
cmts88.ktgc
cmts89.ktgc
cmts76.kwkw
cmts77.kwkw
cmts76.mtbo
cmts77.mtbo
",No Issues,CMTS,P1,1
